"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.873,0.864,0,0,0,0,0.599,0.612,0,0,0.612,0.612,0.599,0,0.612,0.612,0,0.612,0,0
"leaf_2",0.864,0.873,0,0,0,0,0.599,0.612,0,0,0.612,0.612,0.599,0,0.612,0.612,0,0.612,0,0
"leaf_3",0,0,0.873,0.757,0.789,0.789,0,0,0.789,0.769,0,0,0,0.757,0,0,0.477,0,0.757,0.769
"leaf_4",0,0,0.757,0.874,0.757,0.757,0,0,0.757,0.757,0,0,0,0.771,0,0,0.477,0,0.771,0.757
"leaf_5",0,0,0.789,0.757,0.874,0.845,0,0,0.832,0.769,0,0,0,0.757,0,0,0.477,0,0.757,0.769
"leaf_6",0,0,0.789,0.757,0.845,0.874,0,0,0.832,0.769,0,0,0,0.757,0,0,0.477,0,0.757,0.769
"leaf_7",0.599,0.599,0,0,0,0,0.873,0.599,0,0,0.599,0.599,0.83,0,0.599,0.599,0,0.599,0,0
"leaf_8",0.612,0.612,0,0,0,0,0.599,0.873,0,0,0.842,0.842,0.599,0,0.862,0.845,0,0.845,0,0
"leaf_9",0,0,0.789,0.757,0.832,0.832,0,0,0.874,0.769,0,0,0,0.757,0,0,0.477,0,0.757,0.769
"leaf_10",0,0,0.769,0.757,0.769,0.769,0,0,0.769,0.873,0,0,0,0.757,0,0,0.477,0,0.757,0.859
"leaf_11",0.612,0.612,0,0,0,0,0.599,0.842,0,0,0.873,0.872,0.599,0,0.842,0.842,0,0.842,0,0
"leaf_12",0.612,0.612,0,0,0,0,0.599,0.842,0,0,0.872,0.873,0.599,0,0.842,0.842,0,0.842,0,0
"leaf_13",0.599,0.599,0,0,0,0,0.83,0.599,0,0,0.599,0.599,0.873,0,0.599,0.599,0,0.599,0,0
"leaf_14",0,0,0.757,0.771,0.757,0.757,0,0,0.757,0.757,0,0,0,0.874,0,0,0.477,0,0.827,0.757
"leaf_15",0.612,0.612,0,0,0,0,0.599,0.862,0,0,0.842,0.842,0.599,0,0.873,0.845,0,0.845,0,0
"leaf_16",0.612,0.612,0,0,0,0,0.599,0.845,0,0,0.842,0.842,0.599,0,0.845,0.873,0,0.866,0,0
"leaf_17",0,0,0.477,0.477,0.477,0.477,0,0,0.477,0.477,0,0,0,0.477,0,0,0.873,0,0.477,0.477
"leaf_18",0.612,0.612,0,0,0,0,0.599,0.845,0,0,0.842,0.842,0.599,0,0.845,0.866,0,0.873,0,0
"leaf_19",0,0,0.757,0.771,0.757,0.757,0,0,0.757,0.757,0,0,0,0.827,0,0,0.477,0,0.874,0.757
"leaf_20",0,0,0.769,0.757,0.769,0.769,0,0,0.769,0.859,0,0,0,0.757,0,0,0.477,0,0.757,0.873
